# Every line here is a test262 failure praxis has not fixed yet, and a claim that the failure is
# understood. The file may only shrink: a listed test that starts passing fails the run until its
# line is deleted, and an unlisted test that starts failing fails the run.
#
# Format: <test path>[ (strict)] :: what went wrong
#
# Regenerate deliberately with `cargo run -p conformance -- --bless`. Do not regenerate to make a
# red build green — that is the one move this file exists to prevent.
# test262 defaaf1571cd13b183e3f505c6a06e8db316e593
annexB/language/comments/multi-line-html-close.js :: expected a Test262Error at runtime time, and it failed to parse: expected an expression, found `>`
annexB/language/comments/multi-line-html-close.js (strict) :: expected a Test262Error at runtime time, and it failed to parse: expected an expression, found `>`
annexB/language/comments/single-line-html-close-asi.js :: expected a Test262Error at runtime time, and it failed to parse: expected an expression, found `>`
annexB/language/comments/single-line-html-close-asi.js (strict) :: expected a Test262Error at runtime time, and it failed to parse: expected an expression, found `>`
annexB/language/comments/single-line-html-close-first-line-1.js :: expected a EvalError at runtime time, and it failed to parse: expected an expression, found `>`
annexB/language/comments/single-line-html-close-first-line-2.js :: expected a EvalError at runtime time, and it failed to parse: expected an expression, found `>`
annexB/language/comments/single-line-html-close-first-line-3.js :: expected a EvalError at runtime time, and it failed to parse: expected an expression, found `>`
annexB/language/comments/single-line-html-close-unicode-separators.js :: expected a Test262Error at runtime time, and it failed to parse: expected an expression, found `>`
annexB/language/comments/single-line-html-close-unicode-separators.js (strict) :: expected a Test262Error at runtime time, and it failed to parse: expected an expression, found `>`
annexB/language/comments/single-line-html-close.js :: expected a Test262Error at runtime time, and it failed to parse: expected an expression, found `>`
annexB/language/comments/single-line-html-close.js (strict) :: expected a Test262Error at runtime time, and it failed to parse: expected an expression, found `>`
annexB/language/comments/single-line-html-open.js :: expected a Test262Error at runtime time, and it failed to parse: expected an expression, found `<`
annexB/language/comments/single-line-html-open.js (strict) :: expected a Test262Error at runtime time, and it failed to parse: expected an expression, found `<`
annexB/language/expressions/assignmenttargettype/callexpression-as-for-in-lhs.js :: it did not parse: this expression cannot be assigned to
annexB/language/expressions/assignmenttargettype/callexpression-as-for-of-lhs.js :: it did not parse: this expression cannot be assigned to
annexB/language/expressions/assignmenttargettype/callexpression-in-compound-assignment.js :: it did not parse: this expression cannot be assigned to
annexB/language/expressions/assignmenttargettype/callexpression-in-postfix-update.js :: it did not parse: this expression cannot be assigned to
annexB/language/expressions/assignmenttargettype/callexpression-in-prefix-update.js :: it did not parse: this expression cannot be assigned to
annexB/language/expressions/assignmenttargettype/callexpression.js :: it did not parse: this expression cannot be assigned to
annexB/language/expressions/assignmenttargettype/cover-callexpression-and-asyncarrowhead.js :: it did not parse: this expression cannot be assigned to
annexB/language/function-code/function-redeclaration-block.js :: it did not parse: this name is bound twice in the same declaration
annexB/language/function-code/function-redeclaration-switch.js :: it did not parse: this name is bound twice in the same declaration
annexB/language/function-code/if-decl-else-decl-a-func-block-scoping.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/function-code/if-decl-else-decl-a-func-existing-block-fn-no-init.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/function-code/if-decl-else-decl-a-func-existing-block-fn-update.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/function-code/if-decl-else-decl-a-func-existing-fn-no-init.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/function-code/if-decl-else-decl-a-func-existing-fn-update.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/function-code/if-decl-else-decl-a-func-existing-var-no-init.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/function-code/if-decl-else-decl-a-func-existing-var-update.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/function-code/if-decl-else-decl-a-func-init.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/function-code/if-decl-else-decl-a-func-no-skip-try.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/function-code/if-decl-else-decl-a-func-skip-dft-param.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/function-code/if-decl-else-decl-a-func-skip-early-err-block.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/function-code/if-decl-else-decl-a-func-skip-early-err-for-in.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/function-code/if-decl-else-decl-a-func-skip-early-err-for-of.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/function-code/if-decl-else-decl-a-func-skip-early-err-for.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/function-code/if-decl-else-decl-a-func-skip-early-err-switch.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/function-code/if-decl-else-decl-a-func-skip-early-err-try.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/function-code/if-decl-else-decl-a-func-skip-early-err.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/function-code/if-decl-else-decl-a-func-skip-param.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/function-code/if-decl-else-decl-a-func-update.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/function-code/if-decl-else-decl-b-func-block-scoping.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/function-code/if-decl-else-decl-b-func-existing-block-fn-no-init.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/function-code/if-decl-else-decl-b-func-existing-block-fn-update.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/function-code/if-decl-else-decl-b-func-existing-fn-no-init.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/function-code/if-decl-else-decl-b-func-existing-fn-update.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/function-code/if-decl-else-decl-b-func-existing-var-no-init.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/function-code/if-decl-else-decl-b-func-existing-var-update.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/function-code/if-decl-else-decl-b-func-init.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/function-code/if-decl-else-decl-b-func-no-skip-try.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/function-code/if-decl-else-decl-b-func-skip-dft-param.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/function-code/if-decl-else-decl-b-func-skip-early-err-block.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/function-code/if-decl-else-decl-b-func-skip-early-err-for-in.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/function-code/if-decl-else-decl-b-func-skip-early-err-for-of.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/function-code/if-decl-else-decl-b-func-skip-early-err-for.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/function-code/if-decl-else-decl-b-func-skip-early-err-switch.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/function-code/if-decl-else-decl-b-func-skip-early-err-try.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/function-code/if-decl-else-decl-b-func-skip-early-err.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/function-code/if-decl-else-decl-b-func-skip-param.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/function-code/if-decl-else-decl-b-func-update.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/function-code/if-decl-else-stmt-func-block-scoping.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/function-code/if-decl-else-stmt-func-existing-block-fn-no-init.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/function-code/if-decl-else-stmt-func-existing-block-fn-update.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/function-code/if-decl-else-stmt-func-existing-fn-no-init.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/function-code/if-decl-else-stmt-func-existing-fn-update.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/function-code/if-decl-else-stmt-func-existing-var-no-init.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/function-code/if-decl-else-stmt-func-existing-var-update.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/function-code/if-decl-else-stmt-func-init.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/function-code/if-decl-else-stmt-func-no-skip-try.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/function-code/if-decl-else-stmt-func-skip-dft-param.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/function-code/if-decl-else-stmt-func-skip-early-err-block.js :: it did not parse: a declaration may not stand where only a statement may
